trade_date,stock_code,stock_name,close,industry,price_change_rate,max_profit,max_loss,MA_all_cv,all_cv_vs_15,all_cv_vs_15_ema_3d,all_cv_count,all_cv_count_5D_max,all_cv_count_5D_min,MA_most_cv,most_cv_vs_15,most_cv_vs_15_ema_3d,most_cv_count,most_cv_count_5D_max,most_cv_count_5D_min,MA_alignment,MA_all_ema_3d_cont,MA_most_ema_3d_cont,DIF,dif_close,rate_sum,rate_per_ema_3d,rate_per_ema_count,sum_rate_per_ema_3d
2025-08-25,000010.SZ,美丽生态,4.84,建筑工程,3.42,-1.848,-9.035,108.73,8.51,8.71,-14,-10.0,-14.0,70.12,8.43,8.89,-14,-10.0,-14.0,1,4,4,0.3275,6.7665,240.34,-8.76,-6,-75.15
2025-03-27,000011.SZ,深物业A,8.52,房产服务,1.07,0.596,-8.462,3.84,0.33,0.34,10,10.0,6.0,4.43,0.57,0.57,29,29.0,25.0,0,0,0,0.0138,0.162,465.59,17.22,2,6.17
2025-08-13,000011.SZ,深物业A,10.13,房产服务,-3.71,-1.068,-7.67,36.35,3.09,2.22,0,12.0,0.0,34.55,4.46,3.14,0,3.0,0.0,2,3,3,0.276,2.7246,1175.11,29.1,4,92.58
2025-03-27,000012.SZ,南  玻Ａ,4.96,玻璃,-0.8,-0.203,-8.316,5.53,0.58,0.59,7,7.0,3.0,6.11,0.96,0.86,30,30.0,26.0,0,0,3,0.0115,0.2319,476.16,0.97,0,14.8
2025-07-23,000012.SZ,南  玻Ａ,4.98,玻璃,-0.8,-4.28,-7.004,19.21,2.02,1.75,0,0.0,0.0,18.75,2.94,2.59,0,0.0,0.0,1,3,3,0.0769,1.5442,655.34,18.0,2,0.75
2025-03-27,000014.SZ,沙河股份,11.37,全国地产,0.62,-4.325,-13.239,33.9,2.78,2.85,0,0.0,0.0,30.86,3.51,3.74,0,0.0,0.0,0,0,0,0.2675,2.3527,332.75,-1.77,-8,-41.18
2025-06-10,000014.SZ,沙河股份,11.21,全国地产,-1.67,-6.083,-7.218,20.18,1.66,1.82,0,0.0,0.0,14.29,1.63,1.86,0,0.0,0.0,0,0,0,0.1507,1.3443,298.15,-2.11,-10,-24.6
2025-08-15,000014.SZ,沙河股份,15.18,全国地产,5.05,-6.594,-8.227,65.04,5.34,4.44,-1,0.0,-1.0,57.26,6.51,5.28,-2,0.0,-2.0,6,5,5,0.6573,4.33,951.7,18.33,5,108.48
2025-08-25,000014.SZ,沙河股份,15.17,全国地产,2.57,-9.918,-11.687,99.91,8.2,8.33,-7,-3.0,-7.0,82.86,9.43,9.83,-8,-4.0,-8.0,12,0,0,0.9561,6.3026,594.46,-10.8,-4,-26.66
2025-01-14,000016.SZ,深康佳Ａ,6.07,家用电器,9.96,-3.716,-17.286,22.89,1.79,1.69,0,0.0,0.0,15.81,1.71,1.32,0,2.0,0.0,1,1,1,0.094,1.5486,441.62,-7.04,-1,16.9
2025-02-12,000016.SZ,深康佳Ａ,5.03,家用电器,2.86,-4.305,-6.654,53.68,4.2,4.28,0,0.0,0.0,48.5,5.23,5.51,0,0.0,-4.0,0,0,0,-0.1428,-2.839,339.31,4.54,1,-1.69
2025-03-03,000016.SZ,深康佳Ａ,5.76,家用电器,9.92,-6.552,-7.414,29.31,2.29,2.25,0,0.0,0.0,33.4,3.6,3.51,0,0.0,0.0,0,0,3,0.0785,1.3628,473.07,-3.24,-1,46.24
2025-03-14,000016.SZ,深康佳Ａ,5.3,家用电器,0.76,-3.745,-9.176,19.63,1.54,1.68,0,0.0,0.0,22.08,2.38,2.59,0,0.0,0.0,0,0,0,0.043,0.8113,225.2,-12.49,-5,-62.21
2025-03-27,000016.SZ,深康佳Ａ,4.75,家用电器,-1.86,-4.211,-13.684,36.62,2.87,2.48,0,0.0,0.0,38.53,4.16,3.65,0,0.0,0.0,0,-3,-3,-0.1281,-2.6968,208.01,-0.97,0,-6.02
2025-04-14,000016.SZ,深康佳Ａ,5.28,家用电器,3.53,-13.38,-14.437,53.5,4.19,4.94,0,0.0,-4.0,43.42,4.68,5.92,0,0.0,-6.0,0,0,0,-0.1279,-2.4223,573.76,25.04,7,92.6
2025-05-16,000016.SZ,深康佳Ａ,5.2,家用电器,-0.19,-5.056,-6.554,27.64,2.16,2.27,0,0.0,0.0,30.58,3.3,3.46,0,0.0,0.0,0,0,0,0.0925,1.7788,257.96,-13.46,-4,-41.26
2025-08-25,000016.SZ,深康佳Ａ,6.12,家用电器,10.07,-7.455,-9.724,47.89,3.75,3.35,0,0.0,0.0,44.64,4.82,4.31,0,0.0,0.0,4,9,10,0.195,3.1863,543.97,-3.78,-6,-34.13
2025-01-02,000017.SZ,深中华A,6.38,服饰,10.0,0.639,-9.265,52.83,3.94,3.94,0,0.0,0.0,59.24,6.32,6.34,-4,0.0,-4.0,0,-3,-7,-0.2379,-3.7288,286.05,2.71,1,-1.73
2025-03-17,000017.SZ,深中华A,6.47,服饰,1.57,-6.928,-9.337,33.13,2.47,2.12,0,0.0,0.0,38.01,4.05,3.25,0,12.0,0.0,0,0,5,0.1265,1.9552,915.77,12.64,5,95.01
2025-03-27,000017.SZ,深中华A,6.07,服饰,-1.3,3.5,-7.833,22.74,1.7,1.92,0,0.0,0.0,20.36,2.17,2.53,0,0.0,0.0,0,0,0,0.0771,1.2702,256.42,-15.36,-7,-74.5
2025-06-11,000017.SZ,深中华A,7.1,服饰,3.2,0.283,-8.64,38.03,2.84,2.9,0,0.0,0.0,23.32,2.49,2.69,0,0.0,0.0,14,0,0,0.1799,2.5338,418.48,-6.36,-2,-9.82
